Time, Wall_X, Displacement(σ), Left_Count, Right_Count, Packing_UNITLESS, Packing_ACTUAL_BOUND, Packing_ACTUAL_WITH_WALLBUFFER
0.440, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.442, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.443, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.445, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.446, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.448, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.450, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.451, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.453, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.454, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.456, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.458, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.459, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.461, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.462, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.464, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.466, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.467, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.469, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.470, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.472, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.474, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.475, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.477, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.478, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.480, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.482, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.483, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.485, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.486, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.488, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.490, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.491, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.493, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.494, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.496, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.498, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.499, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.501, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.502, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.504, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.506, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.507, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.509, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.510, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.512, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.514, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.515, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.517, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.518, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.520, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.522, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.523, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.525, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.526, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.528, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.530, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.531, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.533, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.534, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.536, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.538, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.539, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.541, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.542, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.544, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.546, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.547, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.549, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.550, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.552, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.554, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
